model_name,DE,DM,MM,MS,NT,MEAN
Grok-4.3,2.87,2.53,2.53,2.73,2.6,2.65
Claude-Opus-4,2.67,2.27,2.87,2.8,2.4,2.6
DeepSeek-V4-Pro,2.79,2.4,2.58,2.27,2.92,2.59
DeepSeek-V4-Flash,2.85,2.47,2.53,2.67,2.38,2.58
Claude-Sonnet-4,2.53,2.33,2.67,2.67,2.4,2.52
Qwen3-235B,2.53,2.33,2.6,2.6,2.27,2.47
GPT-4.1,2.33,2.27,2.47,2.53,2.47,2.41
DeepSeek-R1,2.33,2.47,2.07,2.21,2.64,2.34
Llama-4-Maverick,2.2,2.13,2.47,2.4,2.27,2.29
Gemini-2.5-Flash,2.2,2.07,2.0,1.87,2.4,2.11
Gemma-3-27B,1.93,1.93,2.2,2.07,2.2,2.07
Mistral-Small,0.07,0.2,0.0,0.0,0.0,0.05
