model_name,accuracy,validity,completeness,clarity,avg_tokens,avg_latency,n
Grok-4.3,0.827,2.653,1.973,1.893,1180.187,10.652,75
Claude-Opus-4,0.787,2.6,1.947,1.8,940.227,41.731,75
DeepSeek-V4-Flash,0.803,2.577,1.887,1.789,1981.211,32.227,71
DeepSeek-V4-Pro,0.765,2.574,1.824,1.897,1984.103,41.128,68
Claude-Sonnet-4,0.773,2.52,1.96,1.84,948.987,12.088,75
Qwen3-235B,0.8,2.467,1.96,1.92,4217.2,61.412,75
GPT-4.1,0.76,2.413,1.747,1.88,1021.773,11.152,75
DeepSeek-R1,0.699,2.342,1.658,1.767,3847.589,146.232,73
Llama-4-Maverick,0.693,2.293,1.813,1.56,843.813,22.613,75
Gemini-2.5-Flash,0.587,2.107,1.267,1.587,1806.68,11.79,75
Gemma-3-27B,0.573,2.067,1.84,1.56,902.933,30.744,75
Mistral-Small,0.013,0.053,0.027,0.147,115.2,1.787,75
